t,epo_level,npSTAT5_Obs,SOCS3nRNA5_Obs
51,2.5e-09,0.308897550767896,0.00784781332941948
51,2.5e-09,0.633655056313886,0.0121322288422682
51,2.5e-09,0.662009243498647,0.00769804402510405
51,2.5e-08,0.676478771613196,0.0140647766651874
51,2.5e-08,0.833639092535911,0.0182629474798681
51,2.5e-08,1.09873878930629,0.0123034860336457
51,1.25e-07,2.01343038535934,0.0235265668539368
51,1.25e-07,2.30672478013411,0.0198651495879508
51,1.25e-07,2.74113568073947,0.0194620661734144
51,2.5e-07,2.59226881648764,0.0242621113197226
51,2.5e-07,2.90847039753427,0.024296366340033
51,2.5e-07,3.35276993121308,0.0260322442392406
51,2.5e-06,4.55409476245862,0.0409175936588025
51,2.5e-06,5.32985983966565,0.0409553521744067
51,2.5e-06,5.69400952579768,0.0425790067863676
