t,CISHnRNA2_Obs,CISHRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,5.6061741271566e-05,0.000119149481137071,0.000352246261173041,0.000363607937710081
3.5,3.78955472946701e-05,NaN,NaN,NaN
4.5,NaN,NaN,NaN,4.79029309423986e-05
5,NaN,NaN,3.86146574232074e-05,NaN
6.5,2.24897508089901e-05,NaN,NaN,NaN
9.5,NaN,NaN,NaN,4.3335547472986e-05
10,1.18125241603889e-05,NaN,4.62703190554657e-05,NaN
15,7.85641726071345e-06,NaN,3.89782205140371e-05,4.20450289561296e-05
20,6.32465800082049e-06,9.73275031903084e-05,NaN,3.83353634089772e-05
25,8.0352741125018e-06,NaN,4.5083572469881e-05,NaN
30,6.02771927479889e-06,NaN,4.60935464958459e-05,3.93793851159787e-05
35,4.42625605600574e-06,NaN,NaN,4.1280282286389e-05
40,6.3833355524715e-06,5.98786406924303e-05,NaN,NaN
50,5.26181331406366e-06,NaN,NaN,NaN
60,5.77577065663051e-06,3.19536354069867e-05,NaN,NaN
80,NaN,2.43579002450961e-05,NaN,NaN
100,NaN,1.96277984260173e-05,NaN,NaN
150,NaN,1.63266587220272e-05,NaN,NaN
200,NaN,1.68900354278113e-05,NaN,NaN
250,NaN,1.64946050704472e-05,NaN,NaN
300,NaN,1.46842058790845e-05,NaN,NaN
