t,STAT5_Obs,npSTAT5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs
0,2.66849209712446,-0.0241175435918494,0.000372459727992497,0.000389900053193681
9.5,3.34191883318106,NaN,NaN,NaN
10,NaN,NaN,0.000364972967498866,NaN
15,NaN,-0.0276125523952247,NaN,0.000348084509340833
20,3.26857373952322,NaN,NaN,NaN
25,NaN,NaN,0.000379382572908429,NaN
30,2.85746397132197,NaN,NaN,NaN
35,NaN,0.0375654039439161,NaN,0.000327892990459572
40,2.97439172929013,NaN,0.000344472699011015,NaN
50,NaN,-0.0270509438511387,NaN,NaN
55,3.01057998017276,NaN,0.000380169114874278,0.000343996905826474
70,3.09409719468375,0.0556985148991104,0.000357778012456543,NaN
75,NaN,NaN,NaN,0.000347139468474585
85,3.13028223617418,NaN,NaN,NaN
90,NaN,NaN,0.000347524096893116,NaN
95,NaN,-0.0133829824866971,NaN,NaN
100,NaN,-0.0686871928314315,NaN,0.000358589385030741
150,NaN,NaN,NaN,0.000361961354650786
