t,npSTAT5_Obs,CISHnRNA2_Obs
0,0.000408314326039157,4.8653846282728e-05
45,0.0165181884513524,NaN
60,NaN,9.5957062469143e-05
95,0.0123461696334093,NaN
100,NaN,8.55348382727619e-05
150,0.0108339402807229,NaN
200,0.0111455593242725,7.40015863254965e-05
250,0.0119795922490405,8.0626296596813e-05
300,0.0104715575607644,NaN
350,NaN,7.00947965506479e-05
400,0.00955753392093174,NaN
450,NaN,8.00018884135232e-05
500,0.0113162138161646,NaN
550,NaN,8.04736476644577e-05
600,0.0116939477551096,NaN
700,NaN,7.64798082065066e-05
750,0.0107545213017825,NaN
