t,CISHnRNA2_Obs,SOCS3nRNA1_Obs,SOCS3nRNA5_Obs,SOCS3_Obs
0,0.0585101489847386,0.0699957144181529,0.0368614380217481,5.21621603986728
3.5,-0.0176399636148715,NaN,NaN,NaN
4.5,NaN,0.0860834137602553,NaN,NaN
7.5,0.0897664556936122,NaN,NaN,NaN
9,NaN,0.0165086586706666,NaN,NaN
9.5,NaN,NaN,NaN,4.9108133392715
10,0.0403687510983817,NaN,NaN,NaN
15,-0.00771052458090896,0.0836091537489644,0.0648200308847547,NaN
20,-0.0918722367297153,0.0357519917528538,NaN,2.76600341735427
25,0.0301825543154367,0.0088073979223478,NaN,NaN
30,-0.0236912848183391,NaN,NaN,0.403093420669037
35,NaN,0.0585237558620036,-0.0247752469265709,NaN
40,-0.0494662690424629,NaN,NaN,-1.19352729320876
50,-0.0179671288855196,NaN,-0.0969190400650181,NaN
55,NaN,NaN,NaN,-2.48207186758163
60,-0.109438869149817,NaN,NaN,NaN
70,0.0113702453896809,NaN,-0.0689264044259796,-2.95038094979372
90,NaN,NaN,NaN,-3.25622441972867
95,NaN,NaN,-0.00200131475112273,NaN
100,NaN,NaN,0.0898812308201495,NaN
150,NaN,NaN,0.0448406898922741,NaN
200,NaN,NaN,-0.015481820766012,NaN
250,NaN,NaN,0.0419107834780343,NaN
350,NaN,NaN,-0.0221814027193632,NaN
