t,EpoRJAK2_Obs,PTP_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA3_Obs,Compound_1_Obs
0,1.49109414092771,1.28370013144022,6.03481600060728e-05,0.0183512312978607,0.000327001321277258,1.44324101016479
8,NaN,NaN,NaN,NaN,0.000375586758486097,NaN
10,NaN,1.22865462385051,NaN,NaN,NaN,NaN
15,0.196051018917088,NaN,NaN,NaN,0.000356700573643194,0.150030633370242
20,NaN,1.20396051854305,NaN,0.028716960626496,NaN,NaN
25,NaN,NaN,0.000555106588522042,NaN,0.000356128819804389,NaN
30,0.269865732307328,NaN,NaN,NaN,NaN,0.304392589355481
35,NaN,1.1683005088549,NaN,NaN,0.000378944294071648,NaN
40,NaN,NaN,NaN,0.0419876336267282,NaN,NaN
45,0.48441299251202,1.23846382208666,NaN,NaN,0.000365351116286299,0.399273971470478
50,NaN,NaN,0.00129062668773999,NaN,NaN,NaN
60,NaN,1.12001374087783,NaN,NaN,0.000329976931570922,0.390595161403605
65,0.478131118134874,NaN,NaN,0.0672324880909636,NaN,NaN
75,NaN,1.27162510285918,0.001379602248277,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.417337442489402
85,0.615741628585745,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,0.0879409361636054,NaN,NaN
95,NaN,1.26714709517108,NaN,NaN,NaN,NaN
100,0.535689668479242,1.33435680433532,0.00122497608435353,0.0921280048997203,NaN,0.585164662278995
150,0.581603405968399,1.15445861447087,0.00108950592893763,0.123612176370155,NaN,0.601645799566948
200,0.616868065276692,1.29754710349009,0.000842614252192931,0.132701828108441,NaN,0.62619604284687
250,0.705620669779619,NaN,0.000848612865745267,0.135829976129916,NaN,0.634155553750898
300,NaN,NaN,0.000832247817708806,0.138018060374389,NaN,NaN
350,NaN,NaN,0.00086635279975099,0.13583315977046,NaN,NaN
400,NaN,NaN,NaN,0.136778455642464,NaN,NaN
