t,PTP_Obs,npSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA5_Obs,Compound_1_Obs
0,65.2602819873622,0.116725600024365,0.00204368281858211,0.0666272965158151,0.0120427452011763,3.87207045666169
4.5,83.1460125291596,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,3.9010612145236
8.5,NaN,0.758138295263145,NaN,NaN,NaN,NaN
9,78.0179288427779,NaN,-0.000125731437445334,NaN,NaN,NaN
10,NaN,NaN,NaN,-0.0405392129860082,0.00982587594503896,4.78550806507202
15,73.7916477756934,NaN,NaN,NaN,NaN,5.21724527608778
20,61.319186200931,1.8175680189019,0.00472910272878397,NaN,0.0126652985865341,NaN
25,65.6305246668104,1.61465744486442,NaN,-0.0949576290503549,NaN,5.33552490260944
30,NaN,NaN,0.0120719571791212,NaN,NaN,5.00756865838789
35,71.4100727614378,1.73291548056829,NaN,0.19472790277562,0.0124288100382981,NaN
40,NaN,NaN,0.0197899570877183,NaN,NaN,4.61142383751506
45,68.3801959661169,NaN,NaN,NaN,NaN,5.2185924453652
50,NaN,0.919738809871828,0.0216033064099765,0.455716288807753,0.0154759948004199,NaN
55,68.6671755179754,NaN,NaN,NaN,NaN,NaN
60,NaN,0.870504448035006,NaN,NaN,0.0123230560791555,5.84435919111639
65,NaN,NaN,0.0213713099402856,0.777129619652991,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,3.95027840335505
75,NaN,0.749884937223025,NaN,NaN,NaN,NaN
80,NaN,NaN,0.014348266001613,0.972265714241502,0.0114712044962038,NaN
85,NaN,NaN,NaN,NaN,NaN,3.96864869300792
95,NaN,0.249954264171563,NaN,NaN,NaN,NaN
100,NaN,0.434148670004333,0.00975518346931874,1.3060597515127,0.0106050477685442,NaN
150,NaN,0.46791584807747,0.00679536873725619,1.20115055312432,0.00736104553948834,NaN
200,NaN,NaN,NaN,1.36394198366031,0.0110827003046639,NaN
