t,STAT_Obs,nSTAT1_Obs,nSTAT2_Obs,nSTAT4_Obs
0,1.42082462986968,0,0,5.50875151275537e-05
7.5,NaN,NaN,0.269521256301582,NaN
8,NaN,NaN,NaN,0.210225145692873
8.5,NaN,0.273224894300331,NaN,NaN
9,0.0203312895454411,NaN,NaN,NaN
15,NaN,0.22613559271512,0.330648361735395,0.158836919804666
20,0.0831030638340482,NaN,NaN,NaN
25,NaN,0.145577794883257,0.207937720110178,0.220515697442612
30,0.222992550193039,NaN,0.177653243616328,NaN
35,NaN,0.121362494926183,NaN,0.214254116384371
40,0.502058137112053,NaN,0.113753870035295,NaN
45,NaN,0.0493363256248894,NaN,0.0407904578543364
50,1.0465978907677,NaN,0.0398576495567883,NaN
55,NaN,NaN,NaN,0.0163292498443268
60,0.572298495691725,0.00934651188339027,0.00593485516304223,NaN
65,NaN,NaN,NaN,0.00423962668719967
70,NaN,0.00172046626055097,NaN,NaN
75,1.17931127552793,NaN,0.000892159512673774,NaN
80,NaN,NaN,NaN,0.000665937712033459
85,NaN,0.000195400339924711,NaN,NaN
90,NaN,NaN,0.000180461984454856,NaN
95,0.762837155442616,NaN,NaN,NaN
100,0.915183503833066,0.000151348244481189,7.63550068163155e-05,0.000234840684438828
150,1.26809519122943,0.000160818219306293,0.00014262970337605,0.000318018166101982
