t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA1_Obs
42,0,0.000892661003506493,0.0131702359726062
42,0,0.000441927948410234,0.0125227964367723
42,0,0.000739088131977068,0.0101604263816725
42,0,0.00037293580432175,0.0211137162617028
42,0,0.000781625760687904,0.0157527208727322
42,0,0.000660205772662829,0.0206475305211422
42,0,0.000547900314126846,0.0167499007798024
42,0,0.00037344055946217,0.0125965016665217
42,0.0005,0.000326865568697692,0.0216451823533196
42,0.0005,0.000733188198264271,0.0104807931418063
42,0.0005,0.00076804123105616,0.0146274426593597
42,0.0005,0.000422859694081161,0.0208737711953825
42,0.0005,0.000707563058961736,0.019151289138924
42,0.0005,0.00059176363808151,0.0155280063108712
42,0.005,0.000665728547156851,0.0117151760266737
42,0.005,-0.000268335939519747,0.00581072246686743
42,0.05,0.000439396361122318,0.011866091456587
42,0.05,0.000879748619478847,0.0148510361826851
42,0.1,0.00105587225256425,0.0229430345069412
42,0.1,0.00070155447116277,0.0218368604847251
42,0.5,0.00201541323480342,0.0452109174900714
42,0.5,0.00131255011464035,0.0502962526840718
42,0.5,0.00139414885071174,0.0494378798594777
42,0.5,0.000947149380696415,0.0463426078233422
42,0.5,0.001428016777452,0.0547241094075077
42,0.5,0.000552160554528048,0.0542550314794599
42,1,0.00205034951218059,0.0914387064646972
42,1,0.00164308855101441,0.0903246468265116
42,2.5,0.00268129643527115,0.0771999949287584
42,2.5,0.00300815555105398,0.0758766207336083
42,5,0.00245081816318541,0.0857961914674126
42,5,0.00300300144379893,0.086650026513297
42,5,0.00158618275534598,0.00407939183792953
42,5,0.00203641612060239,0.0036590522567521
42,10,0.00197242688294358,0.00554449577377015
42,10,0.00199292444057127,0.00787588123719577
42,10,0.00238016678126563,0.0117137620162731
42,10,0.00206108960307368,0.00364685618522033
42,25,0.00236125729867108,0.000739950079987467
42,25,0.00218684771276994,-0.0085980898989181
42,25,0.00238515947817691,0.153635915161332
42,25,0.00230164595025457,0.144182796524975
42,25,0.0023695430501419,0.00445910253089688
42,25,0.00285911101420735,0.00518298324879524
42,25,0.00268504795602794,-0.0018083350511786
42,25,0.00272309283009989,0.0103196426984307
42,50,0.0026037672120672,0.00769441054600645
42,50,0.00261773409964612,0.00137298534604383
42,50,0.00238889774394341,0.0223348025914626
42,50,0.00206577282904201,0.0166651934397908
42,50,0.00237582411505979,0.0281941546250972
42,50,0.00182406927159184,0.0298631894614026
42,50,0.00181522620831205,0.0242796283374796
42,50,0.00209036011750229,0.01895383547772
42,100,0.00192463971207069,0.0247628356836225
42,100,0.00226923621400246,0.0299449645668979
42,100,0.00346328983913598,0.136399358155901
42,100,0.00277612034573333,0.14009934977037
42,100,0.00335888286080659,0.137969999055334
42,100,0.00320003559388756,0.133891015813163
42,100,0.00157235820146924,0.00810523295432031
42,100,0.00144281961163848,0.00753033245324086
42,200,0.001972716260498,0.0107372683095545
42,200,0.001869141690984,-0.000984588865939969
42,200,0.00192679465187269,0.00376953070641232
42,200,0.00186427583646228,0.0165350900262851
42,200,0.00190114272905346,0.0171386159948442
42,200,0.00182660655360264,0.00586587683701362
42,500,0.0028521094643376,0.0016167918789713
42,500,0.00327537828784604,0.00542962990400412
42,500,0.00284548721647598,0.00182328360834198
42,500,0.00335935773458003,0.0114386286992494
42,500,0.00344225215103829,-0.00567049684195212
42,500,0.0031914310325344,0.000157122255255041
