t,STAT3_Obs,SOCS3_Obs
0,18.340511756766,0.107493252376191
4,NaN,0.121106631707678
8.5,NaN,0.10535461804581
15,4.07079221644278,0.0603561483499831
20,NaN,0.033154337826462
25,NaN,0.00731721914768644
30,NaN,0.00515391492518049
35,5.63177449214215,0.00508336643986202
45,NaN,0.000547355594628852
50,4.10340109821752,NaN
55,NaN,0.000315774145473042
65,NaN,-0.0041309478579855
70,4.92572954364341,NaN
80,NaN,-0.00280509400841548
85,1.67280116597001,NaN
100,3.4719943600258,NaN
150,5.10744629167487,NaN
200,5.07966400503834,NaN
250,4.40020630912078,NaN
300,5.0623468678174,NaN
350,6.40338496457985,NaN
450,8.21379361358182,NaN
