t,STAT3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,19.4231249296012,0.00325689054122773,-0.228196907237548
10,8.86250782698338,NaN,0.236432283022972
15,NaN,0.00774961704218429,NaN
20,10.2226468265737,NaN,NaN
25,NaN,NaN,6.48809085518192
30,NaN,0.0512143041791723,NaN
35,13.133316104781,NaN,8.76001179198002
45,22.3249445369573,0.0121374828973494,NaN
50,NaN,NaN,1.89516465096345
65,19.8924792855657,-0.000693283202322293,0.439103148908144
80,14.7231593799882,NaN,NaN
85,NaN,0.000429296666842438,0.936827836731148
100,17.9777839018983,0.00924453771670464,1.78760549598084
