t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA1_Obs
36,0,0.00178143498813916,-0.019308577351645
36,0.0005,0.00105430706893981,0.00365007518326572
36,0.005,-0.000543158922005889,0.00606100167036748
36,0.05,0.00115432683783487,0.00578668707012192
36,0.5,0.00167929984718707,0.006975775099556
36,5,0.0129196181377258,0.109066143110787
36,50,0.0127579535919819,0.0648454337840808
36,100,0.00571240625630415,0.0466294752912192
36,200,0.014115661897797,0.156545007375546
36,500,0.0110828682793229,0.0653294056696852
