t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA1_Obs
32,0,-0.000319691453090363,0.00958523437309338
32,0,0.000650905595152789,-0.0242796305949232
32,0.5,0.00201653741699406,-0.0236262664996377
32,0.5,0.0024707649192317,-0.00075605621397858
32,1,0.00231130415904422,-0.00944665538785071
32,1,0.00271110442413843,0.0288672595078825
32,2.5,0.002737096903142,-0.000520497824444855
32,2.5,0.00350544650094947,0.00675422374996462
32,5,0.00752652654364101,0.0245007265911894
32,5,0.00810733849486885,0.00377606049488754
32,10,0.00913123916847461,0.0517195496442348
32,10,0.011473977416984,0.0557609187760982
32,25,0.0173627986074274,0.165327514121267
32,25,0.0173780279078981,0.190527655804462
32,50,0.0189833166155985,0.216782952247412
32,50,0.0190118512523633,0.234866725761529
32,100,0.019320787500652,0.205135325943423
32,100,0.0199757279566343,0.216626766925369
32,500,0.0160331953856697,0.130692188256209
32,500,0.0177054294938729,0.115901926801085
