t,STAT3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,20.1352787617612,-0.00211893556531972,-0.280566778905977
7.5,11.662786429465,NaN,NaN
10,NaN,-0.000645955157928561,0.473709885038312
15,11.717302542884,NaN,NaN
20,NaN,0.0140144670662095,1.73636215174297
25,13.3610241711578,NaN,NaN
30,11.2369794052075,NaN,NaN
35,NaN,0.0343405299839814,5.99344572659397
45,18.9829845932368,NaN,NaN
50,NaN,0.0104198521347115,2.25629207405035
55,14.5675427485912,NaN,NaN
65,NaN,0.00153253809240205,0.739955120821416
70,15.9672797859945,NaN,NaN
80,NaN,0.00423670414131449,NaN
85,17.1536053560898,NaN,1.01125850188767
100,17.2012148848784,0.00548940221604309,1.13773417455182
150,16.2418729444747,NaN,NaN
