t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA5_Obs
0,0.000596520553275793,9.51922398149601,0.0151879837419063,0.0148520819539604
9.5,0.000552146943171152,NaN,NaN,NaN
10,NaN,7.38673454427239,0.0164698732511172,0.0181414763034513
20,0.00064113641920058,8.83283282668254,0.0173741958912626,NaN
25,NaN,NaN,NaN,0.0166339217238395
30,0.000511166515795292,5.8055443268928,0.0112524788417618,NaN
35,NaN,NaN,NaN,0.0149685457638747
40,0.000568057705612813,NaN,NaN,NaN
45,NaN,8.90094589958389,0.014484956539345,NaN
50,NaN,NaN,NaN,0.0180642634301862
55,0.000729780287686744,NaN,NaN,NaN
60,NaN,7.53578455561506,0.0162647441056018,NaN
65,NaN,NaN,NaN,0.0160971967847981
70,0.000555303353170141,NaN,NaN,NaN
75,NaN,9.73580600598204,0.0146528654796188,NaN
85,0.000512152325547387,NaN,NaN,0.0153354862912388
95,NaN,NaN,0.0197401479268134,NaN
100,0.000782987012555802,9.97132774728236,0.0166389330957813,0.0141534387990477
150,0.000384006766723335,NaN,NaN,0.0120678596696861
