t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA1_Obs
1500,0.1,0.000826876080503684,-0.00143225519232161
1500,0.1,0.00153038343715389,-0.0108156899971408
1500,0.5,0.000949067478766355,0.0236968280314956
1500,0.5,0.0011535807967718,0.04632709103444
1500,1,0.00132424233434253,0.0191493392129676
1500,1,0.00196167707934314,0.0416595915729172
1500,2.5,0.0011718969733934,0.0269429768260715
1500,2.5,0.00157638245131915,0.0508559637064321
1500,5,0.0017679473703201,0.055707651852251
1500,5,0.00285835486997969,0.0658024899789494
1500,10,0.00328643999689978,0.113744459701552
1500,10,0.00396381736906051,0.0897936828046167
1500,25,0.00473643203628566,0.125741593735669
1500,25,0.00598721578136151,0.148521920349828
1500,50,0.00617507597291623,0.200035994777152
1500,50,0.00723170710685762,0.177127461084508
1500,100,0.00723419425092935,0.210286168324954
1500,100,0.00740244797307417,0.216884222407629
1500,500,0.00946387729802675,0.260419202444918
1500,500,0.0100765716561131,0.242996151515159
