t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA1_Obs
670,0.1,0.0004226121369523,-0.015673715379546
670,0.1,0.000641460371647674,0.00311993125319906
670,0.5,0.00167749982504107,0.0170308142826971
670,0.5,0.00175840343855015,-0.00226434188954032
670,1,0.0010679189891842,0.0384978403264128
670,1,0.0023791176223845,0.0338574162211149
670,2.5,0.00443247264418971,0.0870530544962738
670,2.5,0.0046359443725751,0.0767813782378987
670,5,0.00908334268774968,0.20783945364659
670,5,0.00895226382951338,0.196647929938382
670,10,0.00205084576843447,0.0171403906923261
670,10,0.00208114819815468,0.0355177926481822
670,25,0.00522125734213048,0.128108389586065
670,25,0.00579279712006309,0.117652528347122
670,50,0.00308750510732787,0.0562852808474528
670,50,0.00345167118030984,0.0758633256641781
670,100,0.00743737039942289,0.163699853353187
670,100,0.00754271517468903,0.170270026797265
670,500,0.0122553097928835,0.244770394940905
670,500,0.0120871587445235,0.258453274428809
