t,STAT3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,19.4778618733797,0.0016313598641622,-0.590020806644227
10,3.80640057050015,0.00469838073527809,0.729300961042849
20,12.1360476265709,NaN,11.2432744146509
25,NaN,0.100359969777168,NaN
30,19.4832865503062,NaN,16.5335618395419
35,NaN,0.0454495732598084,NaN
45,18.437251269641,NaN,3.12345646182247
50,NaN,0.00431344060372642,NaN
55,NaN,NaN,1.29293538859504
60,17.9648727164518,NaN,NaN
70,NaN,0.00379147460740415,NaN
75,NaN,NaN,0.956451525919041
80,11.7700656660716,NaN,NaN
90,NaN,0.00598216224403297,2.406457483772
100,16.3086579940155,0.0121653245344709,1.2789998615217
150,12.4300517238007,0.0122652008770822,1.18852267793827
