t,STAT3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,18.8449716092075,0.000482022858499824,0.201431753548898
9.5,4.64118804958973,NaN,NaN
10,NaN,0.00294853164351597,0.467487433618631
20,7.5229756027332,NaN,NaN
25,NaN,0.0792135905855248,11.7862603522745
30,19.1696778475176,NaN,NaN
35,NaN,0.048773610179001,10.6179708288179
45,23.0036163520786,NaN,NaN
50,NaN,0.00805837942663011,1.3337527593496
55,25.1115692049095,NaN,NaN
65,NaN,NaN,0.803169988780367
70,NaN,-0.00373629960450827,NaN
75,18.6899365600667,NaN,NaN
80,NaN,NaN,-0.0259191798818345
85,NaN,-0.00141023048596343,NaN
95,20.3719276050033,NaN,NaN
100,17.6208447716377,0.00508796594788061,0.390767625960229
150,NaN,-0.00352513872613363,-0.233310645434134
