t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA1_Obs
310,0.1,-0.00024617216859898,0.0111175959247743
310,0.1,0.000380279226321971,0.0218879380397974
310,0.5,0.000238682890671234,0.0519417993398235
310,0.5,0.000838379147054229,0.0552982742897839
310,1,0.00167608220267892,0.0644843763943514
310,1,0.00115007536103261,0.0792214039704913
310,2.5,0.00255006418635179,0.136202361987623
310,2.5,0.00241945787723495,0.112881541424225
310,5,0.00584892516300257,0.230714567937518
310,5,0.00567372810519732,0.242133274700323
310,10,0.00126987717273597,0.0546779094989511
310,10,0.00131094374652235,0.0850338486057351
310,25,0.00319853620125095,0.141473291849836
310,25,0.00368006448510504,0.210942149549296
310,50,0.00183161818401471,0.0982702192734773
310,50,0.00163679536494031,0.0555331727389402
310,100,0.00430332362075855,0.208914569989792
310,100,0.0041477727594582,0.247714766849834
310,500,0.00647769499415142,0.289791763693614
310,500,0.00615816548541512,0.246977123884783
