t,STAT3_Obs,SOCS3_Obs
0,18.6531088748879,0.121537994041124
4,NaN,0.10512681902159
8,NaN,0.107496548826434
10,NaN,0.107879812476917
15,4.48042039512962,0.0679539494182507
20,NaN,0.0373214167405722
25,NaN,0.022554861727014
35,3.03783389705451,0.00219256575764156
40,NaN,0.00867254870288795
50,4.24396272507719,0.00261489531134337
55,NaN,0.0111985011861876
65,NaN,0.0100223931322081
70,3.23927778285892,NaN
80,NaN,-0.0044860561822948
90,2.03139504443051,NaN
100,3.68207426707272,NaN
150,2.47176654945267,NaN
200,5.41693987295932,NaN
250,4.4076225795096,NaN
300,5.51326366440046,NaN
350,7.07294249398952,NaN
450,8.75030225725698,NaN
