t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA1_Obs
960,0.1,0.000301892004116043,0.0230840009152099
960,0.1,0.000329307601425664,0.0420860021205186
960,0.5,0.00111795079089465,0.0425334302105024
960,0.5,0.0012568417055406,0.0205552602807238
960,1,0.00033110565544023,0.0375086475769359
960,1,0.000995265738324859,0.0162043441390625
960,2.5,0.00111629005783932,0.0583291918384423
960,2.5,0.00147200384045807,0.0587901366055695
960,5,0.00216833431153021,0.0826431618064735
960,5,0.00289362426838694,0.0844343695051344
960,10,0.00280646179803852,0.133299872568686
960,10,0.00345328123415358,0.13826576687297
960,25,0.00377781607488516,0.179917550296117
960,25,0.00437492086312232,0.144091685176789
960,50,0.00398964489233162,0.221700410981882
960,50,0.00487777105213299,0.208741753109823
960,100,0.00454345878381968,0.240729179293876
960,100,0.00507081689583029,0.203607122174187
960,500,0.00636407255806148,0.280222898450583
960,500,0.00706665008139438,0.272514154203522
