t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,tpSTAT3_Obs,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00192575124729255,0.0165040102251752,16.9525584006808,1.99647292796394,4.93283082952456,0.00213577382573404,0.0059490177380929,-0.0357839373903938,0.252362695878991,-0.00533036624246755,0.492331240726892
7,NaN,NaN,8.45562078206719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,0.252041363830245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,19.0350457100798,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,1.39186741989663,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0739116084857342,NaN,NaN
10,NaN,NaN,NaN,15.3006274968422,NaN,NaN,1.22381773448733,0.665279943746509,NaN,0.00627120077331195,0.0650824159441107
15,0.0246915200487626,0.355787961018069,3.79986789508559,NaN,17.8059148239839,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,12.662007298255,NaN,NaN,1.82108144611412,NaN,NaN,1.62391938603154,NaN,6.19504978882965
25,NaN,0.173872311924604,NaN,7.88618710904779,10.1885587401432,0.747107010423818,1.27230535417564,1.54961202821543,NaN,0.0778794280830252,NaN
30,0.00482572648532375,NaN,17.552166060518,NaN,NaN,NaN,NaN,NaN,1.53593239227939,NaN,NaN
35,NaN,0.0457808651143949,NaN,3.22331437856304,8.89723019395118,NaN,0.107969005762129,NaN,NaN,0.0535002973830435,11.2963825847108
40,NaN,NaN,19.2880373284811,NaN,NaN,0.0316714352760296,NaN,0.12993562136684,0.506335375634281,NaN,NaN
45,0.00308306588413334,0.02911717916164,NaN,NaN,10.9981518775027,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,19.8997162832249,1.576926954878,NaN,-0.017055968222413,0.0205506178000228,NaN,NaN,0.00880477364784686,2.07020276017239
55,NaN,0.0316264051343116,NaN,NaN,9.83350925147581,NaN,NaN,-0.065554054394514,-0.0211112879720024,NaN,NaN
60,0.00307621239895914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,19.2695190605994,NaN,NaN,-0.0151324138743397,NaN,NaN,NaN,NaN,0.744754424007973
70,NaN,0.0391445549426512,NaN,4.41967115926347,10.8416065779927,NaN,0.116806005934705,0.166043897104825,NaN,0.00371446332322728,NaN
75,NaN,NaN,17.9682952602113,NaN,NaN,NaN,NaN,NaN,0.0631914530785477,NaN,NaN
80,0.00616655631162894,NaN,NaN,NaN,NaN,0.271589814447346,NaN,NaN,NaN,NaN,NaN
85,NaN,0.0543066442697446,NaN,NaN,11.128062766971,NaN,NaN,NaN,NaN,0.00552784590551109,0.604718991391294
90,NaN,NaN,NaN,5.42835845039774,NaN,NaN,0.271649308050002,0.196368972636313,0.249200202808054,NaN,NaN
95,NaN,NaN,19.9871167040552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.00355931720168598,0.0621100110261658,13.9808770209424,4.42758732510207,9.85150797226114,0.146076453179495,0.200545272344609,0.326097168213837,NaN,0.00523704754537133,2.2560999021984
150,0.00369253683305598,NaN,NaN,6.35998347574573,14.4993703023925,NaN,NaN,NaN,NaN,NaN,NaN
