t,STAT3_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,20.9807830752771,0.000799910355565345,0.0971925269414709
9,NaN,NaN,0.128852430179918
9.5,9.86278043614433,NaN,NaN
15,NaN,0.0167133365055623,NaN
20,8.72319674200434,NaN,5.31068844315337
30,23.5891304643737,NaN,7.76156663549606
35,NaN,0.0224446414827729,NaN
40,25.3991027124752,NaN,3.10701968982028
50,NaN,NaN,0.965757226287597
55,21.0178993492122,-0.000799904700854853,NaN
65,NaN,NaN,-0.0414203172702943
70,15.453728347232,NaN,NaN
75,NaN,-0.00117420115722336,NaN
80,NaN,NaN,0.129748207741224
85,21.3764589986574,NaN,NaN
95,NaN,NaN,0.302831491808798
100,17.7246448238866,5.75511187297226e-05,-0.185178376622605
150,23.0682208309053,0.000711313041932132,0.0425169201457179
