t,input_ruxolitinib,STAT3_Obs
35,0,13.0193538054184
35,10,20.2729837564138
35,50,17.274602236231
35,100,18.0374946945729
35,200,17.8660831708253
35,200,18.323257642706
35,400,16.122082410013
35,400,18.7480864501998
35,400,18.8144029763923
35,400,26.0948490674606
35,500,15.4085140495636
35,600,14.8928131098096
35,800,22.9585701023103
35,1000,16.9087399951493
35,1000,18.7968638280226
35,1000,20.0562944373139
35,1000,23.1528333918058
35,2000,14.3265174018064
35,2000,18.9036489604166
35,2000,21.3670138685634
35,2000,22.6082413860115
35,5000,15.8090002066215
