t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA1_Obs
32,0.1,-0.00103339786412825,0.0321352225656129
32,0.1,-0.000364916760166323,0.0327016535658282
32,0.5,-0.00013227577359631,-0.000212945563505222
32,0.5,0.001816102026199,0.0515306993997597
32,1,0.00244283366599325,-0.0199121993942806
32,1,0.000770762662665303,-0.00943183105642541
32,2.5,0.0108304336352433,0.276505505880096
32,2.5,0.0111434468052885,0.27308222925671
32,5,0.015906387612782,0.247805368919128
32,5,0.0141349060876402,0.314970121196091
32,10,0.00376907026843012,0.0722057866044498
32,10,0.00301036812281504,0.0153832330971853
32,25,0.0164446072195334,0.402646227164089
32,25,0.0153575626782882,0.417498612554017
32,50,0.00616861305505325,0.171937596864777
32,50,0.00500769633610715,0.125680800756494
32,100,0.0173731390360179,0.383809836541099
32,100,0.0181026232248042,0.370960387453399
32,500,0.00728950348819084,0.0987248671317667
32,500,0.00770903404954168,0.109305210047582
