t,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,RII_2_Obs,Csub_Obs,RIIp_2_Obs,AC_Fsk_Obs,cAMP_Obs
0,-0.00674151609118914,-0.000812782434733842,0.043878183369255,0.579476202559866,0.0106973326187869,0.240674397128535,-12.8377827648171
3,NaN,NaN,NaN,NaN,NaN,NaN,20.2247777613053
4,NaN,NaN,NaN,NaN,NaN,0.625361120255185,NaN
5,0.209964734535279,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,34.9620601989109
7,NaN,NaN,0.0110067289884804,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,0.10073734616785,NaN,NaN,NaN
8,NaN,0.0165437063989817,NaN,NaN,NaN,0.446116315792282,NaN
9,NaN,NaN,NaN,NaN,0.294147199523905,NaN,NaN
9.5,0.212104867529603,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,0.502523487729135,16.0623533806579
15,0.188053968217033,0.0197166157256806,0.0163671446579235,0.284489244038276,NaN,NaN,30.9083208527147
20,0.180177817018836,NaN,0.0478341721856432,NaN,0.589517835621959,0.536359556662444,24.6434588410317
25,0.136606585322027,0.00187319765654284,NaN,0.593695117260585,NaN,0.285064147569829,18.1246830648351
30,NaN,NaN,0.0132453969477119,NaN,0.320187415153432,0.0535946774478229,29.4560707451651
35,0.144111480238154,0.00851684621053369,NaN,0.308911907229838,NaN,NaN,NaN
40,0.168690622982039,NaN,0.0489806265381966,NaN,0.358417656350413,NaN,NaN
45,NaN,0.0137849356178372,NaN,0.633228785499147,NaN,NaN,NaN
50,0.0212790506762351,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,0.0394690887680666,NaN,0.373740949502449,NaN,NaN
60,0.257188195870183,0.00772040671904311,NaN,0.461786841675805,NaN,NaN,NaN
70,0.191500706518108,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,0.0122193499881022,NaN,NaN,0.377946118305651,NaN,NaN
85,0.116070263004938,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,0.00977700260934407,NaN,NaN,NaN,NaN,NaN
100,NaN,0.0124233288529005,NaN,NaN,NaN,NaN,NaN
