t,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,Sp8_Br_cAMPS_Obs,RIIp_Sp8_Br_cAMPS_2_Obs,RII_2_Obs,Csub_Obs,RIIp_2_Obs,AC_Fsk_Obs
0,0.0183807722606418,0.00108226336416174,0.115239653805309,-0.00147046232916419,0.0354844022174418,0.297525007357755,0.310601409212499,-0.152397596354307
0.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.387802011623463
0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.298162689927668
1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.349726112616206
2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0742167911487666
2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0458716511391113
3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.167552759538852
3.5,NaN,NaN,-8.02534364269655,NaN,NaN,NaN,NaN,-0.714524392998749
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.632395351885588
4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.890877492487303
5,0.00176686341742792,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.5,NaN,0.000260872294601238,NaN,NaN,NaN,NaN,NaN,-0.657899973151333
6,NaN,NaN,NaN,0.00382103895504177,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.12011863941095
7,NaN,NaN,8.04408905856349,NaN,0.0525930317677455,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,0.0345305417379274,0.0663900242379681,-0.0709156564100437
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.622867741272041
10,0.000547707421240665,0.000131551501692268,10.5535898717612,0.00262691651085585,NaN,NaN,NaN,-0.376619786157046
15,0.00434450573528947,0.000204537502246319,10.6686574219054,NaN,0.0240220379219116,-0.0144102156888776,0.465247492887434,-0.275602675664786
20,NaN,NaN,17.0828745309834,0.00146678669861051,0.0168820851669248,NaN,NaN,-0.0229236953370528
25,0.00103958444477626,5.92067859739999e-05,9.08928355885692,0.0018362967065244,NaN,0.347240659870825,0.563322902213476,-0.482130017641517
30,-0.000167194651282325,NaN,9.93214025569007,NaN,0.0372498342220846,NaN,NaN,-0.117043069041117
35,NaN,6.93087436841321e-05,8.52982060360864,0.00276013223388288,NaN,0.397242875775374,0.501662899622134,NaN
40,-0.000615126746164355,2.10681773589749e-05,5.84175791766464,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,0.00199724979287121,0.0659499143710573,0.497752205472064,0.457614017348334,NaN
50,NaN,NaN,10.9342746568212,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,0.00241926732881417,0.0437370523568195,NaN,NaN,NaN
60,NaN,NaN,15.7991766427176,NaN,NaN,0.541879424269168,0.463822527051353,NaN
70,NaN,NaN,NaN,0.00118503275728766,NaN,NaN,0.476310775028428,NaN
85,NaN,NaN,NaN,0.00205022751891819,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,0.00207020302850574,NaN,NaN,NaN,NaN
