t,pApA_Obs,Compound_1_Obs
0,9.98868934437697e-09,0
15,7.14312018464118e-06,NaN
20,NaN,174.700150734283
30,4.22725064725581e-06,NaN
45,NaN,160.647417614671
50,2.85825580478425e-06,NaN
70,2.22040231231478e-06,154.912372759075
95,1.64097623690021e-06,176.155627965756
100,1.15782661643041e-06,168.252577917292
150,9.9202508792594e-07,182.192660307779
200,NaN,166.129532900876
250,NaN,119.857665447523
300,NaN,142.388188738904
350,NaN,126.588958477335
400,NaN,118.761117743659
500,NaN,114.606657083939
550,NaN,132.455697845639
650,NaN,119.333507621527
