timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,-0.0469150848405741,10.0686012354997,-0.0414989575668613
350,0.0642868488323034,NaN,NaN
400,NaN,10.1087504873208,NaN
450,NaN,NaN,0.127633450909942
750,0.0590127781513712,NaN,NaN
850,NaN,10.2387004381234,0.0634859803713088
1000,-0.0369186146550258,NaN,NaN
1500,0.390509807568073,8.73678053526542,0.512952024975503
2000,0.659270574014486,8.11115102471813,1.05057827975466
2500,1.17855735671134,6.68834566570315,1.49473673978358
3000,1.39490028334765,4.254919169696,1.51233288398811
3500,NaN,3.62973007752719,NaN
4000,1.57116755266681,NaN,1.12839928131995
4500,NaN,1.21096054907108,0.974564396779984
5000,1.55381402310228,0.39374252888557,NaN
6000,1.66683405530696,NaN,0.53456310523138
6500,NaN,0.359941614856145,NaN
7000,1.58699088475955,NaN,0.398764029324916
7500,NaN,-0.314319837290192,NaN
8500,1.46796042919464,NaN,0.326890383797426
