timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,-0.0304296654872661,9.97843497869624,0.206688018631236
35,NaN,-0.0450798696763914,NaN
75,NaN,-0.0639398063244051,NaN
100,NaN,0.00997648902792229,NaN
150,NaN,0.092984164862936,NaN
200,NaN,-0.0517311000915112,NaN
250,NaN,-0.0542535971840487,NaN
300,NaN,NaN,9.19996666800611
350,NaN,-0.065454300008712,NaN
400,0.0361754695586237,-0.219171923225251,NaN
600,NaN,NaN,8.76876689448396
750,0.0570293175969059,NaN,NaN
900,NaN,NaN,9.33225854212867
1000,0.182971803300092,NaN,9.60555576227293
1500,0.52069978471271,NaN,9.88870593459215
2000,0.617900478445498,NaN,8.13749026993975
2500,0.728856894487065,NaN,8.37259854183364
3000,NaN,NaN,9.01796249281311
3500,0.71722470926841,NaN,7.90798705002812
4000,0.738171858023498,NaN,8.09303224279239
4500,NaN,NaN,6.95396126696939
5000,0.70004669636397,NaN,NaN
5500,NaN,NaN,6.94164381843395
6000,0.663710465025985,NaN,NaN
6500,NaN,NaN,6.28862683965631
7000,0.684842781900706,NaN,NaN
7500,NaN,NaN,6.10809253357381
8500,0.714926704514896,NaN,NaN
