timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,-0.0376344229648968,9.96627226227162,-0.142726174245155
35,NaN,-0.130231960018029,NaN
75,NaN,-0.0483062643072511,NaN
100,NaN,0.0508955165589415,NaN
150,NaN,0.0946043781917537,NaN
200,NaN,0.131328493643093,NaN
250,NaN,-0.0559630352147634,NaN
300,NaN,NaN,9.60381662905278
350,NaN,-0.0656612176977805,NaN
400,0.0622022901686001,-0.0807548770606574,NaN
650,NaN,NaN,10.0261157112176
750,-0.0188487960313261,NaN,NaN
950,NaN,NaN,9.35330643689785
1000,0.138188047465112,NaN,NaN
1500,0.147292057197066,NaN,8.6698716622091
2000,0.481086778362632,NaN,8.11636549715683
2500,0.852602127524758,NaN,8.93742872461043
3000,NaN,NaN,7.61535786269198
3500,1.1966010913168,NaN,8.36024806027534
4000,1.16070579214799,NaN,NaN
4500,NaN,NaN,7.4282299617258
5000,1.2493268251299,NaN,7.53032531387947
6000,1.19933927364681,NaN,7.02198283819354
7000,1.28217152814235,NaN,5.23846253262706
8000,NaN,NaN,6.06723136451277
8500,1.26576044073621,NaN,NaN
