timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.00870574707073432,10.7243423084824,0.0347003668620693
100,NaN,10.1918153814471,NaN
150,0.00135052850951194,NaN,NaN
250,NaN,9.7084647272164,NaN
300,0.0213504226500019,NaN,NaN
350,NaN,NaN,0.38545735963559
400,NaN,9.66145388937827,NaN
500,0.0297146699856908,NaN,NaN
550,NaN,8.79275273682226,NaN
650,0.0632656294990956,NaN,1.08556679532652
750,NaN,8.05010940118784,NaN
900,0.118183862457836,NaN,NaN
1000,0.149428526338962,6.59837063845263,3.47599653878004
1500,0.399055576338434,2.59701711529954,6.26978647293636
2000,NaN,NaN,6.13716441207657
2500,NaN,NaN,4.88317538573641
3000,NaN,NaN,4.44047626886674
3500,NaN,NaN,3.44846937902592
4000,NaN,NaN,3.32910244573901
5000,NaN,NaN,2.0402953737301
6000,NaN,NaN,1.85464737529376
7000,NaN,NaN,1.89133411489083
