timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.0702050337474116,10.1205488070953,-0.571808072779665
30,NaN,0.0207891442845769,NaN
65,NaN,0.0734546981286854,NaN
100,NaN,-0.0193880601016173,NaN
150,NaN,-0.0868712964956222,NaN
200,NaN,-0.049431388639326,NaN
250,NaN,-0.0687767461738119,NaN
300,NaN,0.0327614784882348,9.22258579592297
350,0.0451917204407679,0.0577473907565149,NaN
650,NaN,NaN,10.295521840111
700,-0.0636891181781529,NaN,NaN
1000,0.0640827116642362,NaN,8.84452507418919
1500,0.160591853001539,NaN,8.46792412950868
2000,0.56324641604796,NaN,8.51444845497229
2500,1.08626502496217,NaN,8.41891417689131
3000,1.36645503202148,NaN,8.16668958298909
3500,1.52979519585624,NaN,7.9740288381916
4000,1.41339224746142,NaN,NaN
4500,NaN,NaN,6.54661471536496
5000,1.47794536314959,NaN,7.72408956905004
6000,1.63082103441855,NaN,5.82476304887616
7000,1.50493083284336,NaN,6.54242008622928
8000,NaN,NaN,6.01373491842265
8500,1.44650052279958,NaN,NaN
