timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,-0.000324882131460309,9.40045129474853,0.118382754344562
150,NaN,10.6549551799529,NaN
300,NaN,9.56024923142934,NaN
400,-0.00665176453149951,NaN,0.648091289231238
450,NaN,9.5885395695553,NaN
600,NaN,9.78154330454931,NaN
750,0.0179971677802067,NaN,NaN
800,NaN,7.70632251467831,1.60050087990824
1000,0.0122453217776467,7.9100102155977,1.90956504574967
1500,0.221065594232149,4.50416168325197,4.795723718385
2000,0.531073718842687,1.01726464141826,6.56307956273345
2500,0.755372661715409,0.214349909877854,5.8394234562801
3000,1.09559523451881,NaN,NaN
3500,NaN,NaN,3.80167661923322
4000,1.18528280076339,NaN,3.39864192003492
5000,1.14494149244701,NaN,2.89037356028825
6000,1.20706325960947,NaN,2.35070478411701
7000,1.13822443238485,NaN,2.27014832193941
8500,1.17056612663305,NaN,1.59641514240391
