timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.0077031967575121,10.095478499917,-0.19073255504754
150,0.0178118718933169,10.0954942524357,NaN
300,0.0178513940253167,NaN,NaN
350,NaN,9.9292121189736,NaN
400,NaN,NaN,0.228951742442636
450,0.0420739909781055,NaN,NaN
500,NaN,9.54153909600703,NaN
600,0.0799528909426239,NaN,NaN
750,NaN,7.71223355034194,2.56461696930477
800,0.166614006966295,NaN,NaN
950,NaN,5.61330752277002,NaN
1000,0.245728879750779,NaN,4.55984359649479
1500,0.395810752824522,1.67943736810325,6.59686462536656
2000,0.431704106317213,NaN,5.88705589138949
2500,0.432477323709171,NaN,4.84452952681026
3500,NaN,NaN,3.50394547266106
4000,NaN,NaN,3.32427498814064
5000,NaN,NaN,2.66063792308541
6500,NaN,NaN,1.64724108552699
7500,NaN,NaN,1.71271517214584
