timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.011332123571073,9.81919519005382,-0.0316764290976654
350,NaN,9.29312846910693,0.0248585069589798
400,0.0359529576038046,NaN,NaN
700,NaN,10.6492028716164,0.0146358184135473
800,0.0309791197400041,NaN,NaN
1000,-0.0111060432457258,9.29587662306525,0.0736081945257941
1500,0.0248444862074574,9.42878324818867,0.153779091313197
2000,0.0837716313412717,9.75270631880574,0.239719814983916
2500,0.140260923767225,9.89648140997299,0.417373321902274
3000,NaN,8.30967852818621,0.552801649888332
3500,0.272175813126756,NaN,NaN
4000,0.390113095005609,8.40067337604613,0.882374461928945
4500,NaN,7.03433644451817,NaN
5000,0.697219765585802,NaN,1.11263554743582
6000,0.87931686749487,3.983048609707,NaN
7000,NaN,2.17109775639558,NaN
7500,0.979239329267676,NaN,NaN
8500,NaN,1.49161914731801,NaN
