timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.0115697729289532,9.71905725342562,-0.0252408624408094
350,NaN,9.69902967312041,0.0325548401886739
450,0.0418138646448501,NaN,NaN
650,NaN,9.44938391992462,NaN
750,NaN,NaN,0.0308519490642814
900,0.00470560234678939,NaN,NaN
1000,NaN,10.4680775794722,0.0684152827734229
1500,0.01862145284372,9.76670936663889,0.0853537812410478
2000,0.110681463573924,9.87532144742249,0.229186334630568
2500,0.105993182275922,9.94633866061758,0.350810290717607
3000,0.134250285402825,9.09985658384169,NaN
3500,NaN,9.09071665732786,0.689852313567098
4000,0.372606260973154,8.01411386338543,0.882333418892891
5000,0.596587208033335,6.62793936663417,1.12059565949669
5500,NaN,5.22787215894572,NaN
6000,0.808459048868375,NaN,NaN
6500,NaN,4.5381329271486,NaN
7500,0.886535037004086,NaN,NaN
8000,NaN,1.76418627073883,NaN
