timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.0130006908017473,9.96273236468824,1.64056416836688
30,NaN,-0.0190396636998762,NaN
65,NaN,-0.0513612065208246,NaN
100,NaN,0.108185312209506,NaN
150,NaN,-0.0664056723607433,NaN
200,NaN,0.042352553093957,NaN
250,NaN,-0.00263490091255723,NaN
300,NaN,-0.211992937831392,10.2842102526773
350,NaN,-0.00752950084303534,NaN
400,-0.00514548959476573,-0.0952816411444846,NaN
600,NaN,NaN,9.48483975770537
800,0.0221685520764344,NaN,NaN
950,NaN,NaN,10.0667241234773
1500,0.248234912809663,NaN,8.94672363608639
2000,0.394369549060339,NaN,7.95364622084089
2500,0.58822556159838,NaN,8.52689471578785
3000,0.666940914358118,NaN,8.29605030605532
3500,0.705116736196486,NaN,7.26965529393248
4000,NaN,NaN,7.6849206221563
4500,0.738175728891384,NaN,NaN
5000,NaN,NaN,7.44627951612161
5500,0.705466279374954,NaN,6.44889499136891
6500,NaN,NaN,6.7197606203156
7000,0.744353922919135,NaN,NaN
8000,NaN,NaN,6.35897618120528
8500,0.725478231827454,NaN,NaN
