timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.041203349563232,9.99121457596115,-0.507272084892602
40,NaN,-0.113993525573746,NaN
85,NaN,-0.0130716825114412,NaN
100,0.0149769484996704,NaN,NaN
150,NaN,0.0673510289486879,NaN
200,NaN,0.0659385497694389,NaN
250,0.0486457915068802,-0.0406564103916049,NaN
300,NaN,0.0512659161351606,9.52774370081175
350,0.0662927343737247,NaN,NaN
400,NaN,-0.00548598076303834,NaN
500,0.235636044125373,0.12896381302834,NaN
600,NaN,NaN,9.94497796727179
650,0.362673961458026,NaN,NaN
800,0.740398821606472,NaN,NaN
900,NaN,NaN,9.9928598444753
1000,1.232811819776,NaN,9.27883498382391
1500,1.55053811043602,NaN,9.21732941849429
2000,1.62916427832818,NaN,8.10866765101387
2500,NaN,NaN,8.2883278589909
3000,NaN,NaN,8.30657049683429
3500,NaN,NaN,7.62785115379401
4000,NaN,NaN,7.60612699131635
4500,NaN,NaN,7.44446089501343
5500,NaN,NaN,7.43278482411229
6500,NaN,NaN,6.46876005832014
7500,NaN,NaN,4.95450972771231
