timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.0246077704875737,9.87007240399466,-0.011714669842708
400,NaN,10.5539212071744,0.0233371597520886
450,0.0211084986867682,NaN,NaN
850,NaN,10.149403161087,0.00719665326297324
900,0.0466895172727878,NaN,NaN
1500,0.0720125091881099,9.48660388339435,0.22289930887197
2000,0.16087201109313,9.54969567346429,0.384077004087658
2500,0.259994132394624,NaN,0.625881700161677
3000,NaN,8.72864573233354,0.861157692456831
3500,0.399965383977599,7.06051640821902,0.928810056276861
4000,0.441424653325246,6.75586605165927,NaN
4500,NaN,NaN,0.911655528487341
5000,0.444221451077591,4.94153366583723,NaN
5500,NaN,NaN,0.82969441449676
6000,NaN,4.99064195753388,NaN
6500,0.446040341723859,NaN,NaN
7000,NaN,2.73272646220368,0.713569666005665
8500,NaN,2.44194586302991,0.603374645098238
