timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.00804549304521415,9.93665167063838,-0.855241174158659
35,NaN,-0.0117139764248954,NaN
75,NaN,-0.0366006316000964,NaN
100,NaN,-0.0244613318521672,NaN
150,NaN,0.102871444754133,NaN
200,NaN,-0.062949995970351,NaN
250,NaN,-0.064840582559275,NaN
350,NaN,-0.0370370321223538,10.0284969250594
400,0.0557930224216894,-0.0736589126931185,NaN
750,NaN,NaN,9.29443934512873
850,0.110193166590391,NaN,NaN
1000,NaN,NaN,9.25791358983038
1500,0.644511706211554,NaN,9.1411946340068
2000,1.08253548892922,NaN,9.3865949625222
2500,1.59735381672597,NaN,8.69047498865564
3000,1.46561091103834,NaN,8.67617169974986
3500,1.48817342587404,NaN,8.06613345993093
4500,1.50934284569326,NaN,7.21036494569673
5000,NaN,NaN,6.91401645413373
5500,1.57893917434346,NaN,NaN
6000,NaN,NaN,6.60889088535093
7000,1.599367542604,NaN,NaN
7500,NaN,NaN,5.56114970111239
8500,1.58634319886648,NaN,5.51069970485761
