timepoint,Bac_Obs,Glu_Obs,cGlu_Obs
0,0.0603807349768519,9.15553521696696,-0.463904674184172
80,NaN,9.64728661805869,NaN
150,NaN,10.3681483335102,NaN
250,NaN,9.94873324039945,NaN
350,NaN,8.90101193136935,NaN
400,0.0262721472776786,NaN,0.873080434351713
450,NaN,9.11141654848764,NaN
550,NaN,7.57371536461839,NaN
700,NaN,5.80036044014966,NaN
750,NaN,NaN,5.00932868949323
850,0.601214767741418,3.55285965267969,NaN
1000,NaN,0.455038709770645,7.96779819104265
1500,1.26898036161845,-0.71623583720775,6.37808817852304
2000,1.2872891763412,-0.282425925942943,5.00745521999377
2500,1.17009208698553,NaN,4.2365588645282
3000,1.24556309784057,NaN,NaN
3500,1.18195909890327,NaN,2.90375846615888
4000,NaN,NaN,3.07362410251554
4500,1.22022736844845,NaN,NaN
5000,NaN,NaN,2.43293170241396
5500,1.30335585419104,NaN,NaN
6000,NaN,NaN,2.13969900881722
7000,1.23056369455697,NaN,NaN
7500,NaN,NaN,1.74325072346657
8500,1.42894267629976,NaN,NaN
