t,pRAF_Obs,MEK_Obs,ERK_Obs,pERK_Obs
0,1.6833554109752e-05,0.920672734394246,0.808879714269556,0.053163201588327
0.2,NaN,0.685282869161058,NaN,NaN
0.4,NaN,1.08565479461045,0.811801974317078,NaN
0.6,NaN,0.979889753965849,NaN,NaN
0.8,NaN,0.924738841589618,1.13638605533791,NaN
1,NaN,1.30056075274375,NaN,NaN
1.5,NaN,0.959592564223533,1.08549254300921,NaN
2,NaN,0.993935014652472,1.06307177535022,NaN
2.5,9.13425362581541e-05,0.913915009305631,1.1764521027403,NaN
3,NaN,0.946581568603158,1.27536055512826,0.0103933250458106
5.5,7.19518969244186e-05,NaN,NaN,NaN
6,NaN,NaN,NaN,0.00934573074347691
9,7.35356286310044e-05,NaN,NaN,0.0124050300574431
15,9.8589237246076e-05,NaN,NaN,0.0102723917744693
