t,pRAF_Obs,MEK_Obs,ERK_Obs,pERK_Obs
0,1.43689816428275e-05,0.957888257155233,1.05948739811454,0.0675410065727647
2,3.48157478744791e-05,0.960532670116188,1.20150093250853,0.131215113192885
3.5,3.32040326865478e-05,0.71021189246202,0.975373608048565,0.132106867783904
5.5,1.91779837469561e-05,1.05991048873161,0.918357736638932,0.0723702858283614
7.5,NaN,NaN,NaN,0.067247522656804
8,2.26569029340234e-05,1.00094586185487,0.83512242631839,NaN
10,1.76431655783411e-05,0.776203560892135,0.759148871272682,0.0744539745336576
15,1.65737147179864e-05,0.980725723074086,0.839653184520598,0.0623383826065896
20,2.19880925611672e-05,1.02625066450792,1.00083902893653,0.0508119584139501
25,1.73549504354825e-05,0.852164858095758,1.12405892342719,0.0576025399692584
