t,pRAF_Obs,MEK_Obs,ERK_Obs,pERK_Obs
0,1.22128480762563e-05,0.990239222124258,1.19894603096425,0.0579759004007948
0.35,NaN,1.19512071617257,NaN,NaN
0.7,NaN,0.803556988973397,NaN,NaN
1,NaN,1.23049519988563,NaN,NaN
1.5,6.34171357520983e-05,0.816305295097618,NaN,NaN
2,NaN,1.13366656949701,NaN,0.0465954730533309
2.5,NaN,1.46699687819866,NaN,NaN
3,NaN,0.867056084498079,NaN,NaN
3.5,4.59136492588429e-05,NaN,0.783590966632565,0.0303333950722539
4,NaN,0.982870238981489,NaN,NaN
4.5,NaN,1.17835181322123,NaN,NaN
5.5,3.6193000811474e-05,0.892896331490414,NaN,0.0275920923155651
7.5,4.03703374535707e-05,NaN,NaN,NaN
8,NaN,NaN,1.01057158548942,0.0230306368499846
9.5,3.75700821964856e-05,NaN,NaN,NaN
10,3.09288635900698e-05,NaN,NaN,0.0249759474713004
15,4.39370001191844e-05,NaN,1.00571798646919,0.0233017499881914
20,4.06072180094418e-05,NaN,0.873108637109388,0.0289858731194578
25,5.09365145063013e-05,NaN,NaN,0.0174639066671271
