t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,39922650.7118823,0.0434523099347798,-63216.6785618913
95,NaN,NaN,943242.822322307
100,29688717.4556494,NaN,NaN
200,17832190.2306259,NaN,794882.452836481
300,18233437.8884575,0.0382134106999979,615424.211268223
450,11971624.6980824,NaN,345558.338849974
550,7976923.2898002,NaN,272491.962755497
650,NaN,0.034711209633729,NaN
700,2417407.01425165,NaN,195370.363877568
900,-1054924.35219541,NaN,62058.6988340529
1000,1452175.95488738,0.0240461317341104,-30670.8920816201
1500,-2096510.227532,0.0371174838086668,NaN
2000,NaN,0.0260846028411813,NaN
2500,NaN,0.0346282841660244,NaN
3500,NaN,0.0408348117296673,NaN
4000,NaN,0.0372269688013414,NaN
4500,NaN,0.0349080957602938,NaN
5500,NaN,0.0369084443086159,NaN
