t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,40379963.8625255,0.0425796859561366,4240.67418125838
150,27415924.8750814,NaN,NaN
200,NaN,NaN,271229.14237462
350,10766323.7742944,NaN,NaN
400,NaN,NaN,165965.14523643
450,NaN,0.0344822744777734,NaN
550,6578135.41911092,NaN,NaN
650,NaN,NaN,65022.0640693115
800,7724285.25679621,NaN,NaN
850,NaN,0.0309552582914808,NaN
900,NaN,NaN,28764.4447561096
1000,3089869.59468067,NaN,24114.2478505707
1500,-930302.104821621,0.0444333964242442,26715.8003614289
2000,NaN,0.0373857319515889,NaN
2500,NaN,0.0350083653005053,NaN
3000,NaN,0.0440144131024357,NaN
4000,NaN,0.0529246013714367,NaN
4500,NaN,0.0370510208303014,NaN
6000,NaN,0.0394119510473739,NaN
7000,NaN,0.030977895412139,NaN
