t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,44119843.3704313,0.0408108972081663,96366.1213454168
40,24709177.3716254,NaN,5290037.86015937
80,15143290.9821476,NaN,5954264.40895754
100,NaN,NaN,5605928.63816935
150,6245217.79300485,NaN,3061762.43697566
200,5143775.26022069,NaN,1655470.04704246
250,-1355245.76001669,NaN,1090938.94872105
300,1493084.06996037,0.0302090986410434,-52390.0814821359
350,4607695.57356981,NaN,NaN
400,NaN,NaN,20110.693794217
450,-1342784.83232723,NaN,-116797.157816472
550,NaN,NaN,462015.26627236
650,NaN,0.0279407811223248,742132.078953102
750,NaN,NaN,413235.53874635
1000,NaN,0.0300077806854318,NaN
1500,NaN,0.0421806758026737,NaN
2000,NaN,0.0375789721878014,NaN
2500,NaN,0.0313142683798719,NaN
3000,NaN,0.0373667323517886,NaN
3500,NaN,0.0469826350751001,NaN
4500,NaN,0.0486566275400777,NaN
