t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,42846464.0583939,0.0509084783284692,321890.749209988
35,192222.00622409,NaN,14517814.9266925
70,534137.95011522,NaN,NaN
75,NaN,NaN,7601298.9830978
100,1054421.53827593,NaN,3245417.68259146
150,-320071.571653489,NaN,1684416.20768236
200,-1181871.15493312,NaN,987873.594410598
250,824137.690817452,NaN,579535.504789969
300,339968.960962569,NaN,-230476.530508931
350,-487391.815564722,0.0324471475561134,NaN
400,NaN,NaN,494126.497273436
450,-136502.845035633,NaN,-400121.286089927
550,NaN,NaN,-146166.592207078
650,NaN,NaN,-121294.290083687
700,NaN,0.0319648529700618,NaN
1000,NaN,0.0392860568294333,NaN
1500,NaN,0.0259369161896488,NaN
2000,NaN,0.0413824682939537,NaN
2500,NaN,0.0250930201256616,NaN
3000,NaN,0.032187682051094,NaN
3500,NaN,0.0258905264481531,NaN
4000,NaN,0.0527107327951936,NaN
5000,NaN,0.0449006363903193,NaN
6000,NaN,0.0328593340480461,NaN
