t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,46703418.3903758,0.0282454242142524,-86645.3123388613
80,28681046.4713962,NaN,NaN
85,NaN,NaN,2969991.95940357
150,18800529.2485598,NaN,2241068.97959238
250,10772400.1532541,NaN,1157343.28120675
350,4524219.6432324,NaN,691807.153664885
400,NaN,0.0433162890020277,NaN
450,1182795.81411437,NaN,309626.190820633
600,2219851.99625696,NaN,8609.38380542147
700,88014.6591020914,NaN,NaN
750,NaN,0.0331487484619048,55267.5914517187
900,622649.013667819,NaN,NaN
950,NaN,NaN,376121.170594727
1000,NaN,0.0259082282773988,47872.2547034198
1500,NaN,0.0471323764768886,94015.8605122048
2000,NaN,0.0269140488968812,NaN
2500,NaN,0.0347791831448852,NaN
3500,NaN,0.0328241855796055,NaN
4000,NaN,0.0312638225039568,NaN
5000,NaN,0.0325301625011312,NaN
6000,NaN,0.0345160133947505,NaN
