t,X_protein_Obs,Y_protein_Obs,GFP_Obs,X_mRNA_Obs,Y_mRNA_Obs,Z_mRNA_Obs
0,-135.67420805766,1209.57562905651,-5.50212087469422,105.754674242202,1599.7882464543,575.094137840516
15,2769.51904886474,NaN,NaN,NaN,27.3202161750194,NaN
25,NaN,29693.7925117516,NaN,-2.79293741819275,NaN,12.4966845677072
35,1674.39234729849,NaN,NaN,NaN,8.82433968862004,NaN
50,NaN,11985.7693204894,NaN,NaN,NaN,-4.06907053524268
55,851.08388577539,NaN,NaN,1.35144458237199,-37.9383860672719,NaN
60,NaN,NaN,27.9315454703143,NaN,NaN,NaN
75,413.997720219264,NaN,NaN,NaN,47.9455799840608,7.92059792055319
80,NaN,5700.97059682819,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,2.29108046091761,NaN,NaN
95,354.1379747631,NaN,NaN,NaN,NaN,NaN
100,20.6890946664859,3038.70171395069,NaN,0.379844644668695,34.3458808565936,-2.42326299777745
150,1714.96602211583,1032.10059324906,58.0118717512812,1.4582775251627,5.1732663971328,5.770444066756
200,936.212759762515,829.897302310731,62.1475187761079,-1.91529978905871,-3.190663349289,-4.62595909267573
250,337.153473398853,1795.64920461171,62.3527996479797,-1.44670927346092,4.16083438652004,-4.37557191269115
300,NaN,1867.459760226,NaN,1.22198460693129,39.1297678302546,-15.2733734366601
350,722.554898534918,NaN,67.853921940841,NaN,NaN,-4.51458176252161
400,NaN,845.685140671213,NaN,1.66261521420632,NaN,NaN
450,NaN,NaN,76.9872715631047,NaN,NaN,NaN
550,NaN,NaN,86.3319417527201,NaN,NaN,NaN
650,NaN,NaN,84.8002678597908,NaN,NaN,NaN
800,NaN,NaN,64.9344029336566,NaN,NaN,NaN
1000,NaN,NaN,71.4838872757427,NaN,NaN,NaN
1500,NaN,NaN,71.8387095016178,NaN,NaN,NaN
