t,K27me1K36me0_Obs,K27me0K36me2_Obs,K27me2K36me0_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me1K36me3_Obs
0,0.000512755131375398,0.527686862111514,0.024861147139149,0.635423346323126,0.108917575783136,0.248407112788139
3.5,0.000878598396361544,0.173629014750394,NaN,NaN,NaN,0.0219154532453901
4,NaN,NaN,0.0124883300359838,1.65602339331039,NaN,NaN
4.5,NaN,NaN,NaN,NaN,0.0877095908245579,NaN
7,0.000313089581034079,0.326354602469667,NaN,NaN,NaN,0.0419790181285172
8,NaN,NaN,0.019250186499616,0.130451500557203,NaN,NaN
9,NaN,NaN,NaN,NaN,0.00432218852882545,NaN
10,0.00210716497757207,0.360613964646963,0.262702464245516,NaN,NaN,0.0303599399912651
15,0.000989255525013297,0.0482451552345489,0.169350715063064,0.597367309461096,0.0210076681908928,0.237306116329337
20,0.00195937353134941,0.39514835343126,NaN,0.611411776809339,0.200253675516421,0.0738791034562603
25,0.000282326872096219,0.034369610874237,0.0386605814810869,1.05958607940714,NaN,0.0186413473799927
30,0.00198360134125722,0.332408877234062,0.0492915085516475,0.88381703583756,0.0868838135185373,0.0489318036378741
35,0.00040434786495828,NaN,NaN,NaN,0.0469698907365988,NaN
40,NaN,0.0838493902782671,0.178429724074028,0.783429022301805,NaN,0.405027381695059
45,0.000327103378684249,NaN,NaN,NaN,NaN,NaN
50,0.0067185053820243,0.0495183302941837,0.121803083238834,0.699185272067756,0.0361593471683842,0.0621979749494627
60,0.000926403870795459,0.0199960327957065,0.0572681137174366,1.33095958750343,0.119933494680599,0.0197271140859067
