t,STAT5A_Obs,STAT5B_Obs,pApB_Obs,pApA_Obs,nucpApB_Obs,nucpBpB_Obs
0,127.886008213641,68.907157110926,8.71049884014757,7.1205645996199e-07,14.9125516207834,-10.8912082427407
8,NaN,NaN,NaN,7.70301933899171e-06,NaN,NaN
15,-20.6157723737465,22.00702675697,28.9592203528587,1.21725800332594e-06,NaN,43.40411956257
20,NaN,NaN,NaN,NaN,55.6338675159058,NaN
25,NaN,NaN,NaN,1.71312301417128e-06,NaN,NaN
30,19.0461086850029,NaN,26.997684594675,NaN,NaN,53.8049046171824
35,NaN,5.38368902718377,NaN,1.71452876624861e-06,NaN,NaN
40,NaN,NaN,20.2641359504337,NaN,59.965139062706,NaN
45,40.807448970163,NaN,NaN,-7.1939395278822e-09,NaN,63.7712630123796
55,NaN,-3.59441537267047,NaN,NaN,NaN,NaN
60,62.4778849463616,NaN,30.294250184958,1.46429766134076e-06,81.4592165484938,NaN
65,NaN,NaN,NaN,NaN,NaN,23.036145196238
70,NaN,NaN,NaN,1.59759855577175e-06,NaN,NaN
75,28.7642538444754,9.03509942188668,1.51157246654959,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,33.6533588928876,22.5486584979824
90,NaN,NaN,NaN,-4.96932247828578e-07,NaN,NaN
95,24.2937367075248,30.6279983700472,2.17659524492751,NaN,NaN,NaN
100,21.533880239863,16.1010917222548,11.3987741798873,NaN,133.179575329867,16.5791490398395
150,56.5912837037609,15.3611658164204,14.5212061908295,NaN,135.377034686811,5.43416534723744
200,42.1516007108212,27.1804085028906,1.23352985230545,NaN,100.600451771132,15.6381093548205
250,48.4559238062984,-0.501840666431907,-1.63681738711456,NaN,136.754350592906,-1.28010521383476
300,166.168004188912,28.5622150795626,NaN,NaN,92.7420533396652,20.9037280359357
350,NaN,41.5054733373779,NaN,NaN,152.50956580513,NaN
400,NaN,NaN,NaN,NaN,81.8439124779024,NaN
