t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,26540633.3961563,3436.70938941573,-1340.75683804716
150,18567759.4503259,NaN,NaN
200,NaN,279724.952294649,206856.264545261
300,13329097.4244355,NaN,NaN
400,NaN,174882.500124856,NaN
450,NaN,NaN,117061.643668844
500,8243765.42037783,NaN,NaN
650,5954009.50428285,98342.9620019912,74074.4861606748
850,4005773.25222519,NaN,NaN
900,NaN,59720.7222656241,NaN
950,NaN,NaN,36609.4739764852
1000,2577116.73249872,49282.9432854952,32723.0033499184
1500,876167.36097212,17578.8041361522,10822.5400019269
2000,113716.149915314,NaN,2369.4538201906
2500,390387.509716727,NaN,NaN
3000,249749.265567337,NaN,NaN
