t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,26218432.6235833,-5687.92963028627,9144.98818710192
50,18069168.7356878,NaN,NaN
65,NaN,2406060.83936646,NaN
70,NaN,NaN,2075234.26531541
100,12312356.3167913,NaN,NaN
150,8671620.99989534,1825760.67963454,1205923.20324874
200,5670924.96613047,1302352.97008842,819245.090314367
300,2587355.11753775,631448.919432679,409536.276866859
350,1904722.06270683,NaN,304931.603929026
400,NaN,296543.406659737,NaN
450,1071568.74592086,NaN,128157.548311304
500,NaN,128699.439076631,NaN
550,597554.425734488,NaN,NaN
600,NaN,61870.2606287248,46642.7412991154
650,195942.173686193,NaN,NaN
700,NaN,NaN,8304.99919354049
750,NaN,11996.3450761718,NaN
800,265518.704745674,NaN,NaN
850,NaN,NaN,-15651.4696395342
950,-203607.364634007,19471.9163964149,NaN
1000,NaN,-12125.6431269463,-21007.4339078548
1500,NaN,NaN,4025.76095233526
