t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,26257284.4104824,55761.3444709917,-81730.0539986757
30,NaN,NaN,9048864.57874539
35,3286595.89008643,8152336.33433242,NaN
60,NaN,NaN,3706108.91330182
70,NaN,6215149.26094546,NaN
75,418112.258853962,NaN,NaN
90,NaN,NaN,1196451.28201477
100,107646.08094754,3099954.40444806,762939.429281882
150,86831.2148725807,657159.772417681,127361.889167265
200,22340.5225977758,151692.440285377,36154.5141829517
250,72905.9778098603,69672.4233442661,7192.60692627073
300,NaN,-12012.4871345628,-32151.5547724735
350,-48826.3511517168,1218.14910153394,16661.6338921558
400,-8325.78499107591,12614.60589084,-40785.117981075
450,NaN,28305.1154754546,NaN
500,NaN,NaN,16739.0072046651
550,NaN,-11778.775218799,NaN
650,NaN,13316.8984008839,NaN
