t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,26192667.7261493,-2419.70607706833,-3998.96491065078
100,18012224.8033873,980854.233459288,776542.645116093
200,12914192.7424887,744348.388899942,546871.763338633
300,8731752.6770019,NaN,NaN
350,NaN,439290.545901746,302855.969674688
400,6016824.8492101,NaN,NaN
450,NaN,303880.506126129,217620.457902627
550,3969710.10507307,NaN,NaN
600,NaN,168272.163719122,139582.343390609
650,2472871.4017864,NaN,NaN
750,NaN,NaN,73673.25605739
800,NaN,107586.204311162,NaN
850,1540739.97991751,NaN,NaN
950,NaN,NaN,40693.2924935619
1000,896083.535180659,53488.0906824645,29844.0772630512
1500,183969.186492059,NaN,7962.36814466699
2000,NaN,NaN,1567.04361412909
