t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,26261609.2451987,7139.86578173821,-58083.0940991038
35,NaN,4365167.31624104,NaN
40,NaN,NaN,5344751.72010352
45,10171663.9009191,NaN,NaN
75,NaN,5114418.82469394,NaN
80,NaN,NaN,3088331.39340302
90,4141130.9572102,NaN,NaN
100,NaN,3982226.52691183,NaN
150,1315582.44974481,1845562.51393572,851018.328100829
200,457108.964054985,747788.670490282,NaN
250,115406.262847176,299813.538940629,122559.467031016
300,NaN,64046.8768161487,64176.5486578717
350,12608.2666932437,NaN,-2718.96226664293
400,NaN,28427.9368125824,NaN
450,-148177.301240294,NaN,23688.7104325101
500,NaN,-11739.8277900277,NaN
550,NaN,38766.8741198342,10797.5003167706
650,NaN,NaN,-11277.9345442887
700,NaN,31815.4324156033,NaN
850,NaN,39253.4026059526,NaN
