t,IRp_Obs,XX_Obs,XXp_Obs
0,-8.0787613538487e-08,12.0945359660327,0.00012874247108859
0.5,NaN,6.91926352160112,NaN
0.95,3.54719365704586e-08,8.68663913074145,NaN
1.5,NaN,7.69625591382453,NaN
2,1.47589433892411e-07,9.54191985077298,0.000744359555975765
2.5,NaN,11.4239615174207,NaN
3,1.01606678683774e-07,NaN,NaN
3.5,NaN,8.92756867757795,0.000724901288105001
4,5.82790972303598e-08,9.30940087408679,NaN
5,4.33802156176837e-07,11.9672189546846,NaN
6,NaN,8.6469973759982,0.0011906931822245
6.5,6.44572377945909e-07,NaN,NaN
7,NaN,11.4147608968983,NaN
8,5.3686291889596e-07,NaN,0.00162134544062769
8.5,NaN,12.9236134726488,NaN
9.5,7.90726381474772e-07,NaN,NaN
10,5.62394005729608e-07,NaN,0.000883656181445691
15,6.16332050217263e-07,NaN,0.00103849216546529
20,4.04122293368288e-07,NaN,0.00157678664707287
