t,IR_Obs,IRins_Obs,IRp_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,IRSiP_Obs,XX_Obs,XXp_Obs
0,10.5024853444332,1.75349793149994,5.77817356955173e-08,-1.40316842752024e-05,0.609538412439168,10.477123669433,0.136183987701172,10.1586917783377,-0.000174331636210604
1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.54806684512108,NaN
2,0.605614412778932,NaN,NaN,NaN,NaN,7.3327325234219,2.42781688778566,NaN,NaN
2.5,NaN,12.0445872427216,NaN,NaN,NaN,NaN,NaN,13.0731953935999,NaN
3,NaN,NaN,6.16638985335095e-07,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,NaN,0.644055415955205,NaN,NaN,NaN,NaN
4,-0.586346380850618,NaN,NaN,NaN,NaN,4.7136923163703,1.96271912307303,8.66418111219888,NaN
4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00147636969022501
5,NaN,8.87911199766284,NaN,0.000187703477688329,NaN,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.5270123043553,NaN
6,0.686818997199885,NaN,5.20572009023161e-07,NaN,NaN,NaN,1.29607398219017,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,12.7002270294158,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.538629580234,NaN
7.5,NaN,6.84820376945878,NaN,NaN,0.256052903149421,NaN,NaN,NaN,NaN
8,0.389287322569422,NaN,NaN,NaN,NaN,NaN,1.93435755494965,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,6.47534593912007,NaN,NaN,NaN
9,NaN,NaN,6.09575263511133e-07,NaN,NaN,NaN,NaN,7.30431082059544,0.00134909831035612
10,0.0665178105830125,6.21784963342205,6.16069982848558e-07,0.0002194665068349,1.73742902599745,9.5775339582367,0.925333595843132,12.5718968764833,NaN
15,-0.416369954584903,5.60337312642532,6.36029932618879e-07,0.000118852253232941,2.26047968355843,6.44053431154178,1.19919910756909,15.2979219605106,0.00106576252693435
20,-0.151450661874484,7.25130514497944,5.92519063891384e-07,0.000185374261776583,4.67154509011793,7.09163737360202,1.56939554932628,9.95500219442652,0.00115642825455043
25,0.437540024268833,7.36011927513822,3.24275797447624e-07,NaN,4.78258280979589,NaN,0.915477400333161,7.976523540546,0.00182989771772454
30,NaN,6.38720819694842,2.66029604086329e-07,0.000191673496247312,5.44269775269458,5.94882553622052,1.63222990959659,NaN,0.00119029481526824
35,NaN,3.56884867468581,1.64752557280815e-07,0.000196700074901037,NaN,7.44116007150812,NaN,NaN,NaN
40,NaN,6.03527961627455,NaN,NaN,6.93276621718555,NaN,NaN,NaN,0.000776040983323299
45,NaN,6.24265953887194,3.956450000671e-07,0.000128346361351382,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,3.01385785340424e-07,NaN,5.60906985218822,NaN,NaN,NaN,0.00117495216811715
55,NaN,4.8885539916614,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,4.40396262751246e-07,0.00014339918835249,4.21498128250793,NaN,NaN,NaN,0.000808542244219675
70,NaN,NaN,NaN,0.000115582763018096,6.50412070106209,NaN,NaN,NaN,0.000805863223641665
