t,CISHnRNA3_Obs,CISHnRNA4_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_7_Obs,Compound_8_Obs
0,-0.0136465518141364,-0.0128640946559621,0.000213298523555458,-1.69335028723742,-0.00533626376901286,0.698016232616975,52.9919241345768,2.89422710837635,1.6131832060358,41.471207283771,-0.741566847151026
7.5,NaN,NaN,NaN,NaN,NaN,NaN,14.2489889228031,38.0392238528709,39.9050380781882,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.892332516591554
9,NaN,NaN,NaN,NaN,NaN,1.55794485987537,NaN,NaN,NaN,NaN,NaN
10,-0.00638518572311113,0.0267762301173663,NaN,NaN,0.0342695410462313,NaN,NaN,NaN,NaN,-2.67510520562525,NaN
15,NaN,NaN,0.00389398300219552,0.00431342870855531,NaN,NaN,25.2089801633865,25.6683797713785,28.7611496031572,NaN,12.3133625430225
20,0.0298593783559569,0.00489492933036608,NaN,NaN,0.0996693048677597,1.87523360737764,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN,NaN,NaN,30.6567659699248,19.1651815576979,13.2616840492533,17.0515055405661,12.2350435417134
30,0.145361520511286,NaN,NaN,2.22706892044631,NaN,6.11199372946436,48.4104809151657,NaN,15.2008217323747,NaN,NaN
35,NaN,0.0966278195776019,0.0355358827446921,NaN,0.103223910102156,NaN,NaN,9.62926182120501,NaN,NaN,19.2928566925474
40,NaN,NaN,NaN,NaN,NaN,11.2584761001525,56.0786602093764,NaN,7.59489637336907,29.6545289027218,NaN
45,0.28844243222581,0.194606316343361,NaN,3.06927141940471,NaN,NaN,NaN,5.32155972283255,NaN,NaN,26.7035720034939
50,NaN,NaN,NaN,NaN,0.0737981255416114,15.666902632413,54.765000977931,NaN,5.49264792288032,42.6561330975321,NaN
55,NaN,NaN,0.144091900119584,NaN,NaN,NaN,NaN,5.96568846124155,NaN,NaN,NaN
60,0.326820085334588,NaN,NaN,NaN,NaN,NaN,54.3100847971225,NaN,NaN,NaN,28.5838877655844
65,NaN,0.297977360168996,NaN,5.88068934608371,0.0437543782048894,13.2426544725118,NaN,4.20204422732716,7.30632471213961,59.7207883786289,NaN
75,0.272859782306948,NaN,0.245136982525404,NaN,NaN,NaN,48.2855828866497,NaN,NaN,NaN,19.7194012693747
80,NaN,0.294600747591701,NaN,NaN,NaN,10.7980442664653,NaN,3.68401018825673,0.739971511881267,NaN,NaN
85,NaN,NaN,NaN,16.7554155142714,0.0311452358097957,NaN,NaN,NaN,NaN,57.6958943611385,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,58.5356563675396,NaN,NaN,NaN,13.5343674100487
95,0.1849647790489,NaN,0.301418521971378,NaN,NaN,NaN,NaN,NaN,1.59532045710889,NaN,NaN
100,0.174470439863399,0.19250317908023,0.294733782882362,24.5141299632301,0.0243011636423288,8.49982925678457,55.8011005245098,0.551723791639166,3.46534718431022,84.6449414855025,12.8169106305308
150,0.0880784723870106,0.103475862714673,0.126623490939131,36.8613676024447,0.0272038280766864,2.21132117873992,57.4501808842185,7.46213126754887,8.01389784991776,69.7187759281942,7.35757935107698
200,NaN,NaN,0.0976399885196459,NaN,NaN,NaN,NaN,NaN,NaN,70.9212766587098,NaN
250,NaN,NaN,0.116358031594016,NaN,NaN,NaN,NaN,NaN,NaN,79.1939820170588,NaN
300,NaN,NaN,0.092758940294113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
