t,SOCS3nRNA1_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0132126534850756,53.7758438928173,1.12752309004334
5.5,NaN,13.721742202795,40.1477672184815
7,0.0341749834905485,NaN,NaN
10,NaN,18.4718183911777,29.2384840135945
15,0.0885792509541651,41.3516597151009,23.4813576637611
25,0.115128237833408,38.8597700345704,17.0777357571248
30,0.112936797439106,36.8103191904737,16.9716098119203
35,NaN,39.9130185704514,NaN
40,0.0913062133755202,NaN,5.48057294470392
45,NaN,53.0879327428226,NaN
50,0.0716366227694645,NaN,5.13040603298062
55,NaN,41.9190662620265,NaN
60,NaN,NaN,6.16212930227248
65,0.0488680639922945,NaN,NaN
70,NaN,49.7934459984729,4.71298198294513
80,0.021507535342935,NaN,NaN
85,NaN,49.5042119860728,NaN
90,NaN,NaN,4.46191253575659
100,0.0355913165697832,47.3064252207945,2.89353182133349
