t,epo_level,SOCS3nRNA1_Obs,Compound_1_Obs,Compound_2_Obs
7,2.5e-09,0.00219828409322063,54.3951258524551,-2.42801876815174
7,2.5e-09,0.00355436852867947,50.2238889202657,4.99841687117048
7,2.5e-09,0.00580846084483003,56.6151543756521,-0.433741857547486
7,2.5e-08,0.00608055183917423,30.32716650043,19.6693555926378
7,2.5e-08,0.00884797064961094,44.5976883621831,16.5869795631287
7,2.5e-08,0.00995591697558979,38.4179790953208,14.2706550687963
7,2.5e-07,0.0216586933479445,23.7004823544295,35.6529787270567
7,2.5e-07,0.0259269812962949,21.4822537652876,35.5571006042871
7,2.5e-07,0.0270759769684894,29.7008702718898,43.1011765608978
7,2.5e-06,0.0288569980997431,23.9233980968413,40.1959108599431
7,2.5e-06,0.0321223579438808,16.0976237218044,45.4542782038921
7,2.5e-06,0.0334797861611655,25.76593683908,38.0662623272197
7,2.5e-05,0.0320389355274509,14.547535612218,34.5388815365412
7,2.5e-05,0.0344565466224355,20.6710269446879,37.159173052407
7,2.5e-05,0.0359174977736512,30.7876170134549,34.7095314890224
